Charging Station Location,charging_date,charging_hour,Charger Type,sessions,unique_users,total_energy_kwh,avg_soc_start,avg_soc_end,avg_distance_since_last_charge_km,peak_hour_flag
Chicago,2024-01-12,6,DC Fast Charger,1,1,55.415049767383415,88.07089504158922,64.80813651303754,176.932958126598,0
Chicago,2024-01-12,7,Level 1,1,1,12.919879701960571,48.08341175551522,71.15874257165281,188.60188052087443,1
Chicago,2024-01-12,10,Level 2,1,1,59.14827213488981,40.00389357145608,57.348292050427055,152.25986699080715,1
Chicago,2024-01-12,11,DC Fast Charger,1,1,6.462698570789017,88.22102307710995,91.9433182882198,152.25986699080715,0
Chicago,2024-01-12,14,DC Fast Charger,1,1,73.22951284506478,14.078141077494076,60.688775546796165,152.25986699080715,0
Chicago,2024-01-12,16,Level 1,1,1,12.132557803938544,32.07190535374782,77.49195605753643,92.1158672426987,0
Chicago,2024-01-13,2,Level 1,1,1,74.49108355632316,55.66200143730428,52.571622201873645,160.67861854327094,0
Chicago,2024-01-13,5,Level 1,1,1,65.32285347166376,54.29560688538636,87.54853995015633,32.14595633492419,0
Chicago,2024-01-13,6,DC Fast Charger,1,1,30.63992013217628,62.17903554933864,53.74244252427816,151.5112088853607,0
Chicago,2024-01-13,7,Level 1,1,1,78.15878931012135,78.17878531385018,80.78249491449304,114.76631518048208,1
Chicago,2024-01-13,8,Level 1,1,1,5.3378360735216495,16.3556544239116,88.04370260386372,67.71733683557791,1
Chicago,2024-01-13,9,Level 2,1,1,29.318815538897795,54.75318080948295,80.76527145643796,200.52483681776488,1
Chicago,2024-01-13,17,DC Fast Charger,1,1,18.549702417680702,37.87100088921708,66.16504375021906,46.22369185622132,1
Chicago,2024-01-13,18,Level 1,1,1,20.763187642544253,27.40042669502671,55.23400520188916,155.2169255876906,1
Chicago,2024-01-13,23,DC Fast Charger,1,1,49.83823893887459,41.37761828816223,62.03331148509731,40.84365487671591,0
Chicago,2024-01-14,5,Level 2,1,1,44.06555274761643,43.3631967175386,72.85514963212466,261.50598887337225,0
Chicago,2024-01-14,12,Level 2,1,1,74.73938753754207,27.62289341973861,61.32518277224479,56.3252273928085,0
Chicago,2024-01-14,20,Level 2,1,1,50.596951312425645,29.94222930931056,73.7587986463408,211.6346842028128,1
Chicago,2024-01-14,21,Level 1,1,1,42.69140537961698,71.30305100718603,95.31144685759358,56.54474446768358,1
Chicago,2024-01-14,23,Level 1,1,1,70.39888221837178,84.36276676677173,62.14760000864133,240.3347991885124,0
Chicago,2024-01-15,14,Level 1,1,1,60.96907588597162,75.85725205688395,92.36496167231005,266.82108780235893,0
Chicago,2024-01-15,15,DC Fast Charger,1,1,48.32460775397477,27.014978040990016,55.861029409729085,161.40304885740548,0
Chicago,2024-01-16,2,Level 1,1,1,6.9381938340043,88.60942030171464,81.44337976475231,230.3190328881203,0
Chicago,2024-01-16,7,Level 2,1,1,24.59962969556764,51.18826307688968,63.46582475528865,263.83317339672374,1
Chicago,2024-01-16,17,Level 1,1,1,55.78297746472087,29.614363227382576,88.37842811530948,10.879984091847628,1
Chicago,2024-01-16,22,Level 1,1,1,64.94285706525936,49.301060486496944,73.24351852996135,41.762292021485166,0
Chicago,2024-01-17,0,Level 2,1,1,42.69140537961698,10.008818544145797,58.15490030758101,284.5828419798684,0
Chicago,2024-01-17,1,DC Fast Charger,1,1,46.55965371578422,77.27588158438571,95.74723144237556,197.5286464172002,0
Chicago,2024-01-17,3,Level 1,1,1,13.726133739305284,82.91258265105539,90.83107621463682,166.7223837788621,0
Chicago,2024-01-17,5,DC Fast Charger,1,1,20.581387676280656,22.542508411280863,84.67236204491557,205.50752200060109,0
Chicago,2024-01-17,14,Level 2,1,1,54.62699762686274,55.80982585519321,60.03055717875766,246.2943567109018,0
Chicago,2024-01-18,0,DC Fast Charger,1,1,76.4481598100646,81.36186445688712,66.48345027491834,131.78846154559577,0
Chicago,2024-01-18,4,DC Fast Charger,1,1,30.184684241437047,64.15663500524101,65.40054488526368,104.53585323424738,0
Chicago,2024-01-18,10,Level 1,1,1,61.46067458832575,15.973834415845005,62.9312696243236,57.16364358717763,1
Chicago,2024-01-18,11,DC Fast Charger,1,1,41.57891512365271,45.88552782646099,90.42239600795594,149.93485696789244,0
Chicago,2024-01-18,18,Level 1,1,1,64.98220570964298,67.10984362193446,66.71032209156328,133.72424414712458,1
Chicago,2024-01-19,7,DC Fast Charger,1,1,26.46822315749027,25.363981311683013,14.989946320580836,79.43076812948085,1
Chicago,2024-01-19,11,DC Fast Charger,1,1,49.5455465707554,48.444748344060486,92.49696553778732,60.587195895566325,0
Chicago,2024-01-19,13,Level 2,1,1,71.12558827151543,78.36258956686292,91.25000145077829,50.619867125485854,0
Chicago,2024-01-19,20,Level 2,1,1,72.94802476319454,38.584757552644014,78.14300037423867,14.891723325678914,1
Chicago,2024-01-19,21,Level 2,1,1,21.097847217832147,66.19996585752617,78.69730898608768,197.84868477952736,1
Chicago,2024-01-19,22,Level 1,1,1,58.7914423257815,63.04816280361352,97.7190613489558,29.975992923414776,0
Chicago,2024-01-20,4,Level 2,1,1,16.47214029543078,90.69939969167524,91.81780236135606,141.28878854232272,0
Chicago,2024-01-20,9,DC Fast Charger,1,1,62.04960065177048,88.13204445267742,58.35691808891281,205.229616253925,1
Chicago,2024-01-20,22,DC Fast Charger,1,1,18.869451407961307,58.04787058173361,66.32789090836553,185.6466636485599,0
Chicago,2024-01-21,6,Level 2,1,1,7.739028453603041,77.5878565014895,99.5840325558417,100.993065560466,0
Chicago,2024-01-21,9,Level 1,1,1,27.61163115157696,27.5521263709905,68.84943482879109,95.48346782769497,1
Chicago,2024-01-21,16,Level 1,1,1,14.462719261155256,14.151779294810476,64.60719261026487,55.74477858323473,0
Chicago,2024-01-22,13,DC Fast Charger,1,1,16.080974332847084,12.688739217031737,82.08507354680322,208.89953672695228,0
Chicago,2024-01-22,19,Level 2,1,1,68.55546011969274,19.1958641680648,69.22304946268947,40.61263817128683,1
Chicago,2024-01-23,7,DC Fast Charger,1,1,42.69140537961698,42.44107977794253,57.45873572271278,63.4562488581285,1
Chicago,2024-01-24,0,Level 2,1,1,11.75852247006084,14.287268227331143,70.94854751913894,272.88033984390114,0
Chicago,2024-01-24,1,DC Fast Charger,1,1,49.8977884122396,56.776136362878844,72.15227538457333,233.24300716478712,0
Chicago,2024-01-24,6,Level 2,1,1,48.9611152601949,68.68646311087505,85.61471937832445,122.7506886568816,0
Chicago,2024-01-24,10,Level 1,1,1,54.78487940320012,64.23263517878756,61.686776590427314,204.7097989049075,1
Chicago,2024-01-24,13,Level 1,1,1,79.78776885692933,79.81742730365542,74.12982191395835,286.57276713345254,0
Chicago,2024-01-24,20,Level 2,1,1,67.70594563751288,79.21151851502425,57.56582309080228,259.63121909317914,1
Chicago,2024-01-25,1,Level 2,1,1,7.603711413792093,38.779269560201854,94.04383182424516,87.85555332964243,0
Chicago,2024-01-26,5,Level 1,1,1,44.81719081526413,66.40059792966022,88.70306595249613,174.92688876199773,0
Chicago,2024-01-26,6,DC Fast Charger,1,1,19.362005744810176,47.22523795880807,83.91200043508005,107.74848344345337,0
Chicago,2024-01-26,7,Level 1,1,1,55.39579143864877,12.98057685502397,61.21899271402144,163.25017153036194,1
Chicago,2024-01-26,12,DC Fast Charger,1,1,42.91893733882982,34.83463935826441,97.25178675418088,129.4031901986671,0
Chicago,2024-01-26,14,DC Fast Charger,1,1,35.327332248586075,51.41733330420172,73.33529424607988,128.32099334561258,0
Chicago,2024-01-26,15,Level 1,1,1,74.51050318325304,70.43050310785254,95.65922813290568,298.29967593868054,0
Chicago,2024-01-27,5,Level 2,1,1,58.77314551651613,70.8802102208019,72.25262595365619,87.25015523286773,0
Chicago,2024-01-27,6,Level 2,1,1,65.539397780162,45.97265795541939,51.33001152315027,166.1593670762652,0
Chicago,2024-01-27,18,Level 1,1,1,77.6778219726915,18.74774586385513,92.78183120974892,169.2012300844277,1
Chicago,2024-01-27,22,DC Fast Charger,1,1,30.549130796547445,59.65792096193613,75.65430435209912,121.4615969598033,0
Chicago,2024-01-28,0,Level 1,1,1,34.79315986001264,12.13162329310939,76.19400124506882,152.25986699080715,0
Chicago,2024-01-28,15,DC Fast Charger,1,1,27.1701708128166,46.8217530357587,79.21389611788328,163.1287884196002,0
Chicago,2024-01-28,20,Level 2,1,1,51.14211521001526,58.189363147862366,69.1577279417634,290.76580556137594,1
Chicago,2024-01-29,2,DC Fast Charger,1,1,54.860003290031365,16.504645864265477,133.6294352306017,225.6350477231055,0
Chicago,2024-01-29,4,Level 2,1,1,52.53257448488719,29.71940200562245,63.899161425123765,62.19603106163954,0
Chicago,2024-01-29,8,DC Fast Charger,1,1,27.28221643798108,54.573853324395245,74.28770014952136,130.78815463221682,1
Chicago,2024-01-29,9,Level 1,1,1,11.514718098963709,18.886157164062443,82.46833405689074,234.8791649205517,1
Chicago,2024-01-29,11,Level 2,1,1,53.104493654248735,33.6601357810824,52.83378326682362,74.38140222321842,0
Chicago,2024-01-29,12,Level 1,1,1,28.788056755331933,40.83054026198938,61.64756308118157,125.8286099263755,0
Chicago,2024-01-29,17,Level 2,1,1,79.96222628140413,20.760171808157708,98.43286888943882,278.47568363906424,1
Chicago,2024-01-29,22,Level 1,1,1,64.450811584597,46.22043610199324,89.43899158085306,231.1922316914764,0
Chicago,2024-01-30,1,Level 1,1,1,79.26318452230387,80.47359963678021,81.06159952378948,108.9552568443528,0
Chicago,2024-01-30,9,Level 1,1,1,5.583797770172537,68.59711303472281,95.58825531366833,125.25857779948792,1
Chicago,2024-01-30,12,Level 1,1,1,58.281853729008496,34.459615544112054,84.48778807694728,205.39547022079915,0
Chicago,2024-01-31,4,DC Fast Charger,1,1,10.192259430922377,14.184548280774854,71.74589400625973,298.9694610309599,0
Chicago,2024-01-31,20,Level 2,1,1,62.5376105258264,14.823808108603975,69.84305861012679,257.3131551501769,1
Chicago,2024-01-31,22,Level 2,1,1,16.497212038654055,50.5319393342964,93.95394941310784,225.2552691628917,0
Chicago,2024-02-01,10,DC Fast Charger,1,1,68.26093768441355,46.37700488664862,88.38593824106768,152.25986699080715,1
Chicago,2024-02-01,16,Level 2,1,1,28.84698737447133,41.58622013245012,89.99519636379434,298.6313760489738,0
Chicago,2024-02-01,20,Level 1,1,1,35.02666957024688,26.276244042338213,59.19858803719168,208.480534386268,1
Chicago,2024-02-02,0,Level 1,1,1,53.71493232990424,15.899923907667324,58.16877869760515,152.25986699080715,0
Chicago,2024-02-02,4,Level 2,1,1,39.67667007009968,71.93335080549818,57.05150376423807,14.590878771397236,0
Chicago,2024-02-02,19,DC Fast Charger,1,1,25.12116466546159,58.39027846003522,93.64930681962036,272.2871845279422,1
Chicago,2024-02-03,1,Level 2,1,1,74.82644569097782,23.72599550105088,53.81369932194329,238.7435606565687,0
Chicago,2024-02-03,7,DC Fast Charger,1,1,8.353019856414647,13.142563107472808,97.25962097296544,42.55134218801984,1
Chicago,2024-02-03,9,DC Fast Charger,1,1,18.89056337329201,54.31147107328103,57.65603262904937,73.25683049364379,1
Chicago,2024-02-03,13,Level 1,1,1,0.1211432950427712,86.31048768785503,77.19881289799206,66.3639561403343,0
Chicago,2024-02-03,18,Level 1,1,1,77.8613161281733,63.10434295286288,66.61241345662742,20.65567779666782,1
Chicago,2024-02-03,20,DC Fast Charger,1,1,25.71192392672169,37.0929556989178,84.74088765106924,190.28182293406505,1
Chicago,2024-02-04,4,Level 1,1,1,58.91061762118734,30.45137839196829,52.11796213219462,138.8827900568325,0
Chicago,2024-02-04,6,Level 2,1,1,31.88807233965004,23.174795172887475,56.489990040667,124.72108285311188,0
Chicago,2024-02-04,7,Level 2,1,1,64.04377270020223,10.960410669496534,99.4443785794044,200.64279131343625,1
Chicago,2024-02-04,8,Level 1,1,1,56.0452902589365,37.92406568833189,97.56418981426546,152.25986699080715,1
Chicago,2024-02-04,14,DC Fast Charger,1,1,54.91320565679101,40.234728507604245,86.30040219514237,57.95464278230427,0
Chicago,2024-02-05,3,Level 1,1,1,35.84392988591518,22.809563778884243,94.52158774685414,219.1032925273127,0
Chicago,2024-02-05,4,DC Fast Charger,1,1,77.26132089921293,52.19891030362686,54.65266515468652,128.62606058066137,0
Chicago,2024-02-05,7,Level 2,1,1,24.797064059890324,20.93846607324868,31.804021005309064,51.63972833826092,1
Chicago,2024-02-05,15,Level 1,1,1,55.78259572680235,50.33758928795222,86.23333848335864,50.905417887353146,0
Chicago,2024-02-05,16,Level 1,1,1,67.77665979862479,79.16930918576188,75.98571454431439,28.58247300664054,0
Chicago,2024-02-05,17,Level 2,1,1,37.05562159282365,34.2183195177556,63.34809700506103,23.61819796352825,1
Chicago,2024-02-05,21,DC Fast Charger,1,1,65.12042574597822,10.427706320315131,107.09396797433892,256.20769311899585,1
Chicago,2024-02-05,22,DC Fast Charger,1,1,64.0000211656222,25.461538152253187,89.74197873860788,220.63757565584783,0
Chicago,2024-02-06,14,DC Fast Charger,1,1,9.04773210705438,86.31805712644342,82.64673078507658,286.8427865836956,0
Chicago,2024-02-06,15,DC Fast Charger,1,1,51.08539266561558,44.70187213283778,82.62853909687317,121.43529271974012,0
Chicago,2024-02-06,16,DC Fast Charger,1,1,36.26259614170952,58.31902030658071,67.00704755875644,85.38239413894216,0
Chicago,2024-02-06,22,Level 1,1,1,76.95348907902107,66.79198381822985,76.5041067060289,36.39737625161223,0
Chicago,2024-02-06,23,Level 2,1,1,62.74942109140281,102.57582675375237,80.98016602086427,152.25986699080715,0
Chicago,2024-02-07,9,Level 2,1,1,60.71815399652918,35.26718110379237,59.63373277625455,84.02663481881574,1
Chicago,2024-02-07,10,Level 1,1,1,79.2780822184147,69.27315689897446,57.638337196602976,11.601228736577331,1
Chicago,2024-02-07,13,DC Fast Charger,1,1,50.92256838738107,15.914269190929192,82.3447958446385,120.88478365972466,0
Chicago,2024-02-07,14,Level 2,1,1,58.92443565485458,40.21147092624306,58.32742248927915,95.64435151967814,0
Chicago,2024-02-07,20,Level 1,1,1,50.51448558506964,12.870374543107925,50.66155353918523,121.0998380635724,1
Chicago,2024-02-07,23,Level 1,1,1,39.6867657804195,37.05047750954196,86.27388445512443,103.75151953046056,0
Chicago,2024-02-08,3,Level 2,1,1,60.28854286251064,78.95924905423048,69.48237539840879,113.35805771013356,0
Chicago,2024-02-08,7,Level 1,1,1,51.89127939896392,15.751627241160556,57.05048211192729,74.53081530847757,1
Chicago,2024-02-08,9,Level 2,1,1,73.62743176033132,25.597117129896727,50.35637514143106,152.25986699080715,1
Chicago,2024-02-08,18,DC Fast Charger,1,1,18.034377951520995,58.41071225322672,146.84764394042554,245.7398507830535,1
Chicago,2024-02-08,19,Level 1,1,1,42.69140537961698,33.28839244217399,62.64665894029709,144.8154901077229,1
Chicago,2024-02-08,22,Level 2,1,1,45.393753939065256,87.41341613137504,87.13199165729654,92.5778132938034,0
Chicago,2024-02-09,1,Level 1,1,1,6.623592694043594,24.96361309359425,68.640672558889,174.81861111455189,0
Chicago,2024-02-09,3,Level 1,1,1,78.93551157563188,21.52681288411701,54.85928878100147,135.60921147891702,0
Chicago,2024-02-09,6,Level 2,1,1,59.21757555858335,42.29926372011892,56.840099035157095,222.9641230412516,0
Chicago,2024-02-09,9,Level 2,1,1,78.23675255331868,75.67577259639745,85.2949905553163,46.83751016977072,1
Chicago,2024-02-09,11,Level 2,1,1,26.22106760279984,45.5548487819631,63.62752663271483,30.1575860269307,0
Chicago,2024-02-10,2,Level 1,1,1,76.57770216711769,68.52902554506932,65.88306142647487,196.799994992825,0
Chicago,2024-02-10,3,Level 1,1,1,32.02408532686721,70.42719826843793,87.6675011896267,105.95721261750602,0
Chicago,2024-02-10,8,DC Fast Charger,1,1,79.3573768668566,28.92874740727782,89.16066921831944,222.1589864390621,1
Chicago,2024-02-10,11,DC Fast Charger,1,1,31.55147285240084,78.97978953798717,89.77926783910603,152.25986699080715,0
Chicago,2024-02-10,23,Level 1,1,1,26.75691987130609,66.7905157286936,91.0452914350937,77.15463655728422,0
Chicago,2024-02-11,2,DC Fast Charger,1,1,26.510946858011508,65.58060133714983,76.29116197989212,292.32106847912405,0
Chicago,2024-02-11,12,DC Fast Charger,1,1,65.60582507754691,17.409983974225376,91.29622820100433,81.04832191522404,0
Chicago,2024-02-11,14,Level 2,1,1,49.363214910123695,33.053741323794696,53.8698231887537,60.01452138704593,0
Chicago,2024-02-11,16,Level 2,1,1,54.36218573947502,46.38733766985727,77.34027871043172,294.4762263745805,0
Chicago,2024-02-11,22,DC Fast Charger,1,1,26.509679689140484,69.67340887703197,79.50037016517598,14.448391031296484,0
Chicago,2024-02-12,9,Level 1,1,1,79.24854612418856,51.37788920930001,73.60900224029965,252.8396285449158,1
Chicago,2024-02-12,13,DC Fast Charger,1,1,24.155781563888247,47.690745477713776,75.97116089477203,289.84699681052945,0
Chicago,2024-02-12,21,Level 1,1,1,37.70311871847127,46.5621884016344,52.45722719775885,274.4585098167528,1
Chicago,2024-02-12,23,Level 2,1,1,73.27597597314914,78.60317582662809,21.88022093970054,152.25986699080715,0
Chicago,2024-02-13,2,Level 1,1,1,50.48944002879003,65.93591222057864,62.63636323265228,221.59178838790848,0
Chicago,2024-02-13,6,DC Fast Charger,1,1,61.03806279047378,33.06564163338204,56.79590134724898,95.5285824624064,0
Chicago,2024-02-13,19,Level 2,1,1,57.92746599973164,67.64590144479743,78.30737956703821,59.42702468141112,1
Chicago,2024-02-14,3,DC Fast Charger,1,1,11.456912304995278,89.11032954040108,51.82133562563068,99.8080312427259,0
Chicago,2024-02-14,10,Level 1,1,1,34.60220459389867,21.2447917415735,73.43628023070899,155.1842358249909,1
Chicago,2024-02-14,14,DC Fast Charger,1,1,42.69140537961698,64.48728317838777,150.78810712179632,246.1538642092985,0
Chicago,2024-02-14,16,DC Fast Charger,1,1,47.28525433337332,64.56614544409143,63.95523977697776,295.21427815214133,0
Chicago,2024-02-14,19,Level 2,1,1,54.96447201998234,19.82642791357606,92.7765202491452,141.46830962772606,1
Chicago,2024-02-14,21,Level 2,1,1,34.79054782301729,42.67037445051806,75.69609265423627,247.748550461502,1
Chicago,2024-02-14,22,Level 2,1,1,69.13309024823164,28.9030166431617,78.34862219833958,91.55117127306124,0
Chicago,2024-02-15,5,Level 1,1,1,36.46547333950338,21.0234699710778,82.17941381709426,56.42945115351432,0
Chicago,2024-02-15,14,Level 1,1,1,10.23177592340076,58.948118682538286,54.516206852764384,112.01386710988416,0
Chicago,2024-02-15,16,Level 2,1,1,21.70612432843914,17.075691755127025,94.5111556731093,169.8323958415097,0
Chicago,2024-02-15,22,Level 2,1,1,21.847908232183183,19.545511401995345,54.51263808416087,240.6560602969141,0
Chicago,2024-02-15,23,DC Fast Charger,1,1,15.42551087839598,27.099273239145614,55.421233705785504,218.1421991726112,0
Chicago,2024-02-16,2,DC Fast Charger,1,1,67.45812734205117,58.36277008675972,83.42106852028354,93.34872261816982,0
Chicago,2024-02-16,4,Level 2,1,1,61.23146590227786,53.24028839982735,85.77640672316048,13.794461132920947,0
Chicago,2024-02-16,17,Level 1,1,1,59.19854015458014,32.90161477916705,90.23527141040675,286.8165204249623,1
Chicago,2024-02-17,3,Level 2,1,1,41.13168722967361,64.74836809986499,92.69456876416793,224.55991659553533,0
Chicago,2024-02-17,8,Level 1,1,1,33.467398984964014,44.25432304914885,91.06019255005748,40.31861722887526,1
Chicago,2024-02-17,10,DC Fast Charger,1,1,76.03768937793197,87.91245387496029,67.04978613778212,259.7179826676652,1
Chicago,2024-02-17,17,Level 1,1,1,66.24653780691024,43.85148170771822,61.64849601577665,152.26221869616475,1
Chicago,2024-02-17,23,Level 2,1,1,64.9305064614647,58.16252769130468,72.85889430616501,115.73243090441906,0
Chicago,2024-02-18,1,Level 1,1,1,55.62849667174399,50.627588257932686,53.248697123948766,294.2932328258952,0
Chicago,2024-02-18,2,Level 1,1,1,41.99326219500855,46.35478932598276,91.106881276485,54.26809121579728,0
Chicago,2024-02-18,3,Level 1,1,1,38.69718656721909,27.790526414327424,54.73692996512599,384.6905685988771,0
Chicago,2024-02-18,7,Level 1,1,1,19.721540010730703,58.69009594389493,84.5528682061711,32.32362538971208,1
Chicago,2024-02-18,11,Level 1,1,1,35.38265952853404,54.48146211687617,70.45984840964744,33.687799215282084,0
Chicago,2024-02-18,13,Level 2,1,1,20.79343928787075,33.55042871023524,93.64636491555372,155.78441572644002,0
Chicago,2024-02-18,21,Level 1,1,1,74.70693087698855,56.90819742601112,90.23796992952722,166.68314426869878,1
Chicago,2024-02-19,1,Level 1,1,1,39.88426993608347,58.016494112477474,52.28837265751346,172.51949017269516,0
Chicago,2024-02-19,3,Level 2,1,1,13.003539499532652,40.69499213107397,57.66600893156081,245.858001075849,0
Chicago,2024-02-19,5,DC Fast Charger,1,1,48.84665066850152,22.710321135632327,62.07007350536415,107.30820591544423,0
Chicago,2024-02-19,12,Level 1,1,1,7.446816605478516,65.871422799937,84.10892630331702,30.92221633424317,0
Chicago,2024-02-19,20,Level 2,1,1,28.77227402735012,27.98535524715724,69.49637808673178,163.03903239714137,1
Chicago,2024-02-20,5,Level 2,1,1,45.858999052265375,26.447257316508875,50.88290885213277,85.00477868174715,0
Chicago,2024-02-20,8,Level 1,1,1,39.97272424864232,88.2973709644651,71.13650830929953,60.91729092497904,1
Chicago,2024-02-20,9,DC Fast Charger,1,1,21.05357940478484,50.70981922850209,64.13652349959695,135.63711211756276,1
Chicago,2024-02-20,14,DC Fast Charger,1,1,11.422192304640166,75.85891513688586,60.19969203469616,31.30638473922064,0
Chicago,2024-02-20,17,Level 1,1,1,14.175393197160597,18.139377516618723,64.34409488966753,295.9593309185726,1
Chicago,2024-02-20,22,Level 1,1,1,23.942080345214407,24.122328324213527,90.8302547030802,190.2017656409444,0
Chicago,2024-02-21,4,DC Fast Charger,1,1,5.995140564565627,36.39805027421534,62.02939828212693,270.6638630648035,0
Chicago,2024-02-21,7,DC Fast Charger,1,1,37.9980325281785,21.31000444838144,58.47308801172035,214.38410598075924,1
Chicago,2024-02-21,16,DC Fast Charger,1,1,76.48074420185159,27.9459134972956,85.81552369692857,92.32721901570342,0
Chicago,2024-02-21,20,DC Fast Charger,1,1,53.11979970086487,79.45408421714306,60.93787155350576,139.2442142295559,1
Chicago,2024-02-22,1,Level 2,1,1,14.11630705481829,27.571039314792376,60.91086177664662,262.12941582158567,0
Chicago,2024-02-22,4,Level 2,1,1,65.92220415676107,34.71180818363233,99.830388857032,31.81542082192569,0
Chicago,2024-02-22,13,Level 1,1,1,25.527547211644688,20.065397433186966,80.3207465989539,265.2383489384838,0
Chicago,2024-02-22,15,DC Fast Charger,1,1,33.694161775319,87.1299945616067,70.55530611428432,29.81287894734365,0
Chicago,2024-02-22,16,Level 1,1,1,45.15937317195059,11.792607718349384,50.75166478809943,61.5066692485589,0
Chicago,2024-02-22,17,Level 2,1,1,60.83110355266755,26.45024651766164,83.89886666729896,29.674901099856857,1
Chicago,2024-02-23,0,Level 2,1,1,10.201613009568993,67.3630481060283,94.84613705113878,131.97073687718645,0
