station_key,Charging Station ID,Charging Station Location,Vehicle Model,Charger Type,User Type,weather_condition,traffic_level,charging_hour,charging_month,is_weekend,is_peak_hour,Energy Consumed (kWh),Charging Duration (hours),Charging Rate (kW),Battery Capacity (kWh),State of Charge (Start %),State of Charge (End %),Distance Driven (since last charge) (km),temperature_c,humidity_percent,precipitation_mm,wind_speed_kph,traffic_score,road_congestion_index,nearby_events_count,station_occupancy_percent,estimated_waiting_time_minutes,overload_risk
Station_485_New York,Station_485,New York,Hyundai Kona,Level 1,Commuter,Partly Cloudy,Severe,21,1,0,1,59.1350316162392,2.9317614950957465,25.603799331857445,62.0,71.5303121297424,75.97435158703122,219.6263569214341,5.8,57,0.0,15.6,86,0.9,0,92.62,51.2,1
Station_140_Chicago,Station_140,Chicago,BMW i3,DC Fast Charger,Long-Distance Traveler,Snow,High,22,1,0,0,49.19642958971384,2.5628173042684104,19.194882837079632,75.0,49.02423910950519,64.48187393759193,298.18812231836336,-12.9,84,0.8,21.7,66,0.68,1,81.5,43.44,1
Station_326_New York,Station_326,New York,Tesla Model 3,DC Fast Charger,Commuter,Heavy Rain,High,23,1,0,0,68.44712632026376,2.0714292092234388,49.71030696901287,100.0,19.23313912730544,74.00615088095063,280.91546822652094,6.4,93,7.4,14.4,65,0.65,1,78.31,42.31,1
Station_150_Houston,Station_150,Houston,Tesla Model 3,Level 1,Long-Distance Traveler,Clear,Low,0,1,0,0,27.60438468247694,0.9571376601264636,11.238538626794044,100.0,65.48688658113335,65.35209627449626,173.47152650529225,1.5,67,0.0,11.2,37,0.36,0,56.92,26.38,0
Station_288_San Francisco,Station_288,San Francisco,Chevy Bolt,DC Fast Charger,Commuter,Heavy Rain,Low,1,1,0,0,40.178003499947216,3.604173535372616,12.31861479590845,75.0,80.34408372714871,79.99556313119572,82.75461394014503,3.7,64,9.8,16.9,32,0.31,0,78.74,38.82,1
Station_361_Houston,Station_361,Houston,Chevy Bolt,Level 1,Commuter,Clear,Low,2,1,0,0,43.487751224792326,3.652540335433942,36.18237188372349,75.0,88.74847907153811,87.82402899882813,80.91266512306521,5.0,59,0.0,15.6,20,0.21,0,68.09,28.09,0
Station_340_San Francisco,Station_340,San Francisco,Nissan Leaf,Level 1,Long-Distance Traveler,Clear,Low,3,1,0,0,10.338517723856468,1.547713717696371,45.7767311942711,50.0,98.3327953116332,94.50485176968456,162.6865443608225,4.6,58,0.0,17.4,33,0.34,1,58.99,26.61,0
Station_129_Los Angeles,Station_129,Los Angeles,BMW i3,Level 2,Casual Driver,Clear,Low,4,1,0,0,31.68448458657448,2.4396779381538938,48.64872319079225,75.0,34.72763909597674,54.40205038521579,152.25986699080715,6.9,57,0.0,8.9,32,0.29,0,64.09,28.13,0
Station_438_Chicago,Station_438,Chicago,BMW i3,DC Fast Charger,Casual Driver,Partly Cloudy,Low,5,1,0,0,56.59325685914933,3.153257254972797,45.81173100244055,75.0,29.207671702279008,85.00810624066354,186.15573210131024,-12.2,60,0.0,18.4,25,0.26,0,66.45,28.11,0
Station_239_New York,Station_239,New York,Chevy Bolt,DC Fast Charger,Casual Driver,Partly Cloudy,High,6,1,0,0,19.473800595427143,1.435532787267766,7.043936342279247,100.0,31.320786979519863,78.05665281794616,152.25986699080715,7.3,58,0.0,1.0,62,0.63,1,65.71,31.95,0
Station_58_Chicago,Station_58,Chicago,BMW i3,Level 1,Commuter,Snow,Severe,7,1,0,1,38.28919933554271,2.0076640542660726,12.064391459035129,100.0,75.6447784790562,65.61730718592959,238.9093109631085,-12.1,86,0.4,18.9,81,0.79,0,93.86,57.05,1
Station_198_New York,Station_198,New York,BMW i3,Level 2,Casual Driver,Light Rain,Severe,8,1,0,1,16.136238725396332,1.306927271746284,21.517815048554308,100.0,23.603991432132744,88.2000728013921,35.50388319357353,8.9,75,1.9,10.1,87,0.9,0,83.31,48.33,1
Station_211_Houston,Station_211,Houston,Tesla Model 3,Level 2,Casual Driver,Light Rain,High,9,1,0,1,60.06708508895625,0.9991001884039166,7.651570046980447,62.0,22.88146662593892,51.43427868199236,46.35755886056615,7.7,100,1.1,26.8,66,0.67,0,76.36,43.8,1
Station_402_Houston,Station_402,Houston,Chevy Bolt,DC Fast Charger,Long-Distance Traveler,Partly Cloudy,Severe,10,1,0,1,57.72437946101146,1.8735815970397776,4.48564710517362,75.0,41.87247964240577,79.64797277486439,157.61465400806637,9.1,73,0.0,15.4,82,0.79,0,85.39,48.44,1
Station_390_New York,Station_390,New York,Hyundai Kona,Level 1,Commuter,Partly Cloudy,High,11,1,0,0,37.37451606078376,2.8916769844807484,18.865801960923783,75.0,24.49220858439769,73.38017572592224,76.20353921863803,8.8,62,0.0,17.9,75,0.76,1,77.61,37.19,1
Station_45_Chicago,Station_45,Chicago,Chevy Bolt,DC Fast Charger,Casual Driver,Partly Cloudy,High,12,1,0,0,39.940563619980615,3.470003433537161,28.62519932675557,75.0,85.85755579960261,50.403654740892144,102.43030218211146,-9.0,62,0.0,22.2,61,0.6,0,77.4,35.58,1
Station_97_New York,Station_97,New York,Hyundai Kona,DC Fast Charger,Long-Distance Traveler,Partly Cloudy,High,13,1,0,0,73.38661952275571,1.0404523051899732,38.45083190087793,75.0,49.27538752823665,94.59708190417813,42.09574394400221,12.6,64,0.0,13.5,65,0.66,0,64.4,31.86,0
Station_279_Los Angeles,Station_279,Los Angeles,Tesla Model 3,Level 2,Commuter,Light Rain,High,14,1,0,0,61.52075986084904,1.2804107080349374,12.510248962442,85.0,87.98462138000619,79.3884433831648,141.24375349788664,9.3,70,1.9,16.4,60,0.62,0,64.32,31.28,0
Station_23_Houston,Station_23,Houston,Nissan Leaf,Level 2,Long-Distance Traveler,Partly Cloudy,Moderate,15,1,0,0,68.17785003637414,3.2424460582484915,23.31161908295264,100.0,17.040420024456118,56.07865100803714,130.37601376208403,13.2,57,0.0,9.0,53,0.5,1,73.75,33.53,0
Station_410_Los Angeles,Station_410,Los Angeles,BMW i3,Level 2,Casual Driver,Clear,High,16,1,0,0,67.51805822343026,1.9623405401552507,6.897878329777162,79.7992037611215,80.86258863357027,62.52531776559165,119.63099233488512,12.1,66,0.0,6.0,63,0.69,0,69.14,33.15,0
Station_461_Houston,Station_461,Houston,Tesla Model 3,Level 2,Commuter,Clear,Severe,17,1,0,1,39.398742356080696,2.3977153605176023,20.46036486895017,100.0,28.252298260726327,96.287092238838,111.01653950164392,11.8,66,0.0,12.4,94,0.89,0,91.3,51.66,1
Station_391_Houston,Station_391,Houston,BMW i3,Level 1,Commuter,Clear,Severe,18,1,0,1,12.049319706245154,1.373881357931789,29.468944357780007,85.0,36.636852158024986,66.97610432369274,83.24522142563875,9.5,78,0.0,13.2,100,1.0,0,86.8,50.88,1
Station_335_San Francisco,Station_335,San Francisco,Nissan Leaf,DC Fast Charger,Casual Driver,Clear,Severe,19,1,0,1,77.0536063752363,3.030202685230273,8.388039538136447,48.79648263973517,15.144122471302746,84.3423268685863,144.01398119262163,7.4,66,0.0,13.8,91,0.93,0,94.39,52.31,1
Station_44_Los Angeles,Station_44,Los Angeles,Nissan Leaf,Level 2,Long-Distance Traveler,Clear,Severe,20,1,0,1,42.69140537961698,3.296056589144087,5.114613366354828,75.0,15.220938965012722,132.95201054959608,49.384266364222384,6.9,57,0.0,9.1,90,0.84,1,95.45,52.54,1
Station_27_Los Angeles,Station_27,Los Angeles,Tesla Model 3,DC Fast Charger,Commuter,Clear,Severe,21,1,0,1,46.80719594482398,3.877992452581901,16.91833198373123,62.0,49.29876550655081,90.97067522699976,210.17109719106028,7.1,57,0.0,12.2,89,0.92,1,98.37,53.37,1
Station_282_San Francisco,Station_282,San Francisco,Nissan Leaf,Level 1,Commuter,Light Rain,Moderate,22,1,0,0,67.47546614008147,2.1051170788531968,49.60079964847686,75.0,63.035941874368895,81.75095350359373,97.4539049287794,6.4,85,1.1,21.0,52,0.46,1,67.21,31.33,0
Station_97_Chicago,Station_97,Chicago,Hyundai Kona,Level 2,Commuter,Clear,High,23,1,0,0,30.71093402710381,1.6336686079712066,6.35266144526304,62.0,76.12005335845825,76.68243090588436,18.93451548845076,-11.5,72,0.0,7.2,62,0.54,0,66.82,32.3,0
Station_463_Los Angeles,Station_463,Los Angeles,Nissan Leaf,Level 1,Casual Driver,Light Rain,Low,0,1,0,0,42.69140537961698,1.743435263200667,14.149666187068805,85.0,77.80942281830983,87.94811448093188,212.9403418082668,5.1,79,0.4,13.4,27,0.22,0,58.8,25.89,0
Station_36_New York,Station_36,New York,BMW i3,Level 2,Long-Distance Traveler,Heavy Rain,Moderate,1,1,0,0,8.713190575944605,2.2095428234972503,49.2753455894196,100.0,27.196196012553663,86.89391764029943,170.47505412270155,5.7,86,9.7,12.8,42,0.48,0,73.27,38.17,1
Station_109_San Francisco,Station_109,San Francisco,BMW i3,DC Fast Charger,Casual Driver,Partly Cloudy,Low,2,1,0,0,9.06588081544948,0.5123781829612861,40.17800199145749,85.0,13.873858113381532,93.62842306259267,226.2193631647091,7.6,64,0.0,18.5,35,0.34,0,53.95,25.21,0
Station_55_Los Angeles,Station_55,Los Angeles,BMW i3,Level 1,Commuter,Clear,Moderate,3,1,0,0,58.73397361690925,1.88926151834522,13.175727296302622,50.0,83.86192690828396,71.37448250923295,57.38072425225101,6.0,65,0.0,15.2,57,0.55,1,67.25,31.89,0
Station_192_Chicago,Station_192,Chicago,BMW i3,Level 2,Long-Distance Traveler,Clear,Moderate,4,1,0,0,65.98624912728606,3.3138023577161824,46.27844331315938,50.0,17.38966714207173,73.4380396237612,234.9966615729484,-10.8,63,0.0,21.6,44,0.43,0,72.09,32.01,0
Station_219_Los Angeles,Station_219,Los Angeles,Hyundai Kona,DC Fast Charger,Long-Distance Traveler,Clear,Low,5,1,0,0,74.99970643372605,1.9113031543827848,35.92512612379792,62.0,87.28930579942039,80.41641729522466,51.82835201742095,4.8,54,0.0,8.6,36,0.33,0,62.14,27.94,0
Station_185_Houston,Station_185,Houston,Chevy Bolt,DC Fast Charger,Casual Driver,Clear,High,6,1,0,0,17.769436409407696,3.3140797633169585,34.45824193725993,100.0,27.69749248619649,70.51026724863107,166.3114629994677,9.1,81,0.0,19.9,60,0.61,0,76.11,35.06,1
Station_69_New York,Station_69,New York,Tesla Model 3,DC Fast Charger,Casual Driver,Light Rain,Severe,7,1,0,1,50.26893407436542,1.6783584198879236,36.303372348344666,76.87610037599295,13.48827068689701,82.69521185847714,133.99209364319893,9.0,73,2.5,14.6,91,0.94,0,86.31,49.73,1
Station_317_San Francisco,Station_317,San Francisco,BMW i3,Level 2,Commuter,Clear,Severe,8,1,0,1,76.45046498743068,3.873449980578508,11.339063162639302,69.88407424915135,63.67446343632872,55.389776083986256,191.93791499432749,10.0,52,0.0,8.1,87,0.88,0,97.86,52.99,1
Station_130_Houston,Station_130,Houston,Nissan Leaf,DC Fast Charger,Casual Driver,Light Rain,Severe,9,1,0,1,77.86372676031044,0.9179022472670976,47.15400980350788,62.0,56.91742176324378,57.46568225034442,129.3894111090679,13.2,98,1.4,13.2,78,0.83,0,78.79,45.89,1
Station_55_Chicago,Station_55,Chicago,BMW i3,DC Fast Charger,Casual Driver,Partly Cloudy,Severe,10,1,0,1,21.89299267514347,1.285283896923329,25.37395430520664,100.0,80.22553380560572,64.66736188293022,148.41561166314776,-6.2,82,0.0,25.8,79,0.79,1,81.1,46.74,1
Station_378_Houston,Station_378,Houston,Nissan Leaf,Level 2,Casual Driver,Partly Cloudy,Moderate,11,1,0,0,71.28000416235402,2.413754936898993,40.61639923013172,100.0,26.1565979508552,89.92458852765273,140.46521317115082,13.6,69,0.0,11.5,53,0.53,1,69.19,32.07,0
Station_97_Houston,Station_97,Houston,Nissan Leaf,Level 1,Casual Driver,Light Rain,High,12,1,0,0,21.82768817738645,2.082100007126398,26.50712322152529,62.0,33.255985091753644,51.50113226723436,48.044387156223145,15.8,89,1.5,9.0,61,0.6,0,69.39,33.01,0
Station_336_Chicago,Station_336,Chicago,BMW i3,DC Fast Charger,Casual Driver,Partly Cloudy,Severe,13,1,0,0,62.723162291274086,2.117893349954352,30.9970269340748,75.0,82.84418006572773,72.83328568716698,282.9423217735824,-8.3,59,0.0,16.8,79,0.77,1,74.02,36.48,1
Station_87_Houston,Station_87,Houston,Hyundai Kona,Level 2,Commuter,Partly Cloudy,Moderate,14,1,0,0,46.1951370011332,0.6505075790560018,47.87752355760527,124.31591138552656,53.00518532661712,59.90164627311141,25.02725725569419,15.1,67,0.0,15.6,55,0.56,0,59.63,29.23,0
Station_294_San Francisco,Station_294,San Francisco,Nissan Leaf,Level 1,Long-Distance Traveler,Clear,High,15,1,0,0,29.34565985727085,2.482090675316866,6.871184621235036,100.0,85.33141901899155,67.47790562555141,127.02180106032571,10.6,60,0.0,15.8,66,0.67,0,72.92,34.69,0
Station_119_Los Angeles,Station_119,Los Angeles,Nissan Leaf,DC Fast Charger,Casual Driver,Clear,Moderate,16,1,0,0,76.93342189972203,2.1234202003251825,34.17685550275657,50.0,27.1746153338806,92.14463369734484,295.8937220745894,10.4,62,0.0,12.6,55,0.58,1,68.05,31.93,0
Station_208_Houston,Station_208,Houston,BMW i3,Level 2,Long-Distance Traveler,Clear,High,17,1,0,1,59.25460166411963,1.2796206959579637,25.603799331857445,62.0,77.03697398688679,91.82927487145972,167.29757277309406,11.9,66,0.0,11.4,66,0.64,0,77.79,44.25,1
Station_334_San Francisco,Station_334,San Francisco,Nissan Leaf,Level 2,Long-Distance Traveler,Clear,Severe,18,1,0,1,37.06292777850246,1.6090994326029475,15.230062587672052,100.0,7.520444726979813,67.79787265012489,98.14598101957088,8.5,72,0.0,8.0,94,0.98,0,86.62,50.16,1
Station_413_Los Angeles,Station_413,Los Angeles,Nissan Leaf,DC Fast Charger,Casual Driver,Light Rain,Severe,19,1,0,1,67.69516175123809,0.8575824648349768,32.97506874142168,85.0,22.48839981099202,86.77766611416524,81.28450037675881,11.0,73,2.8,22.5,95,0.96,1,82.69,49.01,1
Station_154_Los Angeles,Station_154,Los Angeles,BMW i3,Level 1,Casual Driver,Clear,Severe,20,1,0,1,16.41401693253662,1.702974822474663,25.603799331857445,75.0,36.950283611109775,77.13616493524884,188.47148981831265,5.6,65,0.0,16.3,83,0.84,0,84.46,48.26,1
Station_35_Houston,Station_35,Houston,BMW i3,Level 1,Long-Distance Traveler,Partly Cloudy,High,21,1,0,1,67.00568214318923,3.608030961009233,4.092360865180499,50.0,57.677660751028775,57.11286224854077,276.3684303122313,6.9,81,0.0,8.4,76,0.72,0,93.77,50.47,1
Station_79_San Francisco,Station_79,San Francisco,Tesla Model 3,Level 1,Commuter,Partly Cloudy,High,22,1,0,0,70.61729259484447,3.2801429687726915,26.07041362744592,75.0,86.22602519571817,57.969655423091886,23.00399874929624,5.2,63,0.0,15.2,62,0.59,0,76.35,35.35,1
Station_67_Houston,Station_67,Houston,Hyundai Kona,DC Fast Charger,Long-Distance Traveler,Clear,Moderate,23,1,0,0,61.13047583037784,0.947277208902377,23.281804960483075,75.0,34.89904374917877,92.355661174546,58.85531551787028,8.4,98,0.0,14.5,58,0.57,0,62.06,30.34,0
Station_343_Chicago,Station_343,Chicago,Hyundai Kona,DC Fast Charger,Commuter,Snow,Low,0,1,0,0,22.88203842151127,1.5694707135750048,29.98922250219449,85.0,15.67448546968074,96.59770241767578,98.47402709278698,-10.0,83,0.2,13.1,25,0.28,0,65.11,33.69,0
Station_413_Los Angeles,Station_413,Los Angeles,Nissan Leaf,Level 1,Long-Distance Traveler,Partly Cloudy,Low,1,1,0,0,12.894887186031896,0.5815047780490367,40.88409889822898,59.83272651224269,31.54918220388392,97.46254098173988,183.1712811493433,5.4,70,0.0,10.6,23,0.22,0,51.3,23.05,0
Station_34_Houston,Station_34,Houston,Hyundai Kona,Level 1,Casual Driver,Light Rain,Moderate,2,1,0,0,69.16916705566726,2.285242161327478,5.557358509328086,85.0,41.089044871443264,74.39951852877809,276.57481915586186,6.7,96,5.0,21.9,38,0.41,1,64.62,28.96,0
Station_97_Los Angeles,Station_97,Los Angeles,Nissan Leaf,Level 1,Commuter,Light Rain,Moderate,3,1,0,0,42.69140537961698,3.520690375905822,9.56924507314763,50.0,51.28140347341039,93.19846283246213,171.89615323236094,10.2,74,3.3,9.6,41,0.47,0,72.67,31.86,0
Station_169_San Francisco,Station_169,San Francisco,Tesla Model 3,Level 1,Long-Distance Traveler,Clear,Moderate,4,1,0,0,49.2788373994772,3.865136106678535,49.41151925702685,100.0,86.32698824285714,75.50151044016273,246.3443697107785,6.0,70,0.0,14.6,42,0.39,0,74.58,32.59,0
Station_169_New York,Station_169,New York,BMW i3,Level 2,Commuter,Clear,Moderate,5,1,0,0,31.218889683829406,3.340997592022919,30.02591267156402,75.0,39.51761676284298,71.27176463552543,242.4855629063196,5.9,59,0.0,9.7,39,0.45,0,71.04,31.12,0
Station_151_Houston,Station_151,Houston,BMW i3,DC Fast Charger,Casual Driver,Clear,High,6,1,0,0,30.651699818598622,1.0288186666188504,28.522353335495254,100.0,38.12132999285809,81.19721083979802,12.149516678078117,9.1,65,0.0,15.9,62,0.55,0,63.55,31.26,0
Station_71_Houston,Station_71,Houston,BMW i3,Level 1,Commuter,Partly Cloudy,Severe,7,1,0,1,59.9864767329939,3.729365399834844,23.417921150036506,75.0,88.09676846371462,96.1305685919979,281.763740323611,7.1,64,0.0,7.1,88,0.91,0,97.47,52.97,1
Station_3_Los Angeles,Station_3,Los Angeles,Hyundai Kona,Level 2,Casual Driver,Partly Cloudy,Severe,8,1,0,1,51.67374779364138,0.6917553642371982,46.59567841482084,48.0506947257829,55.07217407784221,62.93578010941694,222.2746666893461,9.5,53,0.0,3.5,89,0.95,0,80.36,47.61,1
Station_314_San Francisco,Station_314,San Francisco,Tesla Model 3,Level 1,Casual Driver,Heavy Rain,Severe,9,1,0,1,35.9072426531086,2.7255608456585247,25.60162087204433,50.0,48.88762425560186,43.05075612226932,93.85786768644309,11.1,68,7.5,5.1,86,0.9,0,99.29,59.33,1
Station_32_Chicago,Station_32,Chicago,Hyundai Kona,Level 1,Commuter,Clear,Severe,10,1,0,1,41.60783353260332,0.8070687454194462,25.603799331857445,85.0,54.997649082294174,97.26161624347915,94.645250164602,-2.6,61,0.0,19.0,98,0.98,1,83.15,49.49,1
Station_287_San Francisco,Station_287,San Francisco,Hyundai Kona,Level 2,Casual Driver,Clear,High,11,1,0,0,32.83295683246542,3.4086383448749484,44.492366139662046,62.0,26.654722048049937,63.71062691853387,279.8982720475401,11.4,68,0.0,18.4,64,0.6,0,77.68,36.0,1
Station_82_Houston,Station_82,Houston,Tesla Model 3,Level 1,Casual Driver,Partly Cloudy,High,12,1,0,0,57.92445004054599,1.261117292569857,12.538161906875358,50.0,49.87203405296153,54.26143302124692,64.13545483676491,10.4,70,0.0,19.7,67,0.66,1,65.92,32.56,0
Station_43_Chicago,Station_43,Chicago,Tesla Model 3,Level 1,Casual Driver,Partly Cloudy,High,13,1,0,0,21.65616411567424,1.8944268875741128,32.95451081519971,100.0,78.43462826424621,97.7254403635819,170.55772537142218,-3.5,61,0.0,12.8,68,0.66,1,70.02,33.99,0
Station_391_San Francisco,Station_391,San Francisco,Tesla Model 3,Level 2,Commuter,Light Rain,High,14,1,0,0,41.01058174547109,3.3669557754635044,45.32010959769544,62.0,73.62283683904118,83.05427335844938,103.7883061403116,10.6,67,2.8,5.6,62,0.59,0,76.91,35.53,1
Station_105_New York,Station_105,New York,Tesla Model 3,Level 2,Casual Driver,Partly Cloudy,High,15,1,0,0,79.81869447094793,2.6064796291623145,13.009732230851895,62.0,86.11175650087344,69.39563151935643,274.02065391535655,8.8,52,0.0,10.9,60,0.64,1,72.18,33.8,0
Station_1_Los Angeles,Station_1,Los Angeles,BMW i3,Level 2,Long-Distance Traveler,Light Rain,High,16,1,0,0,33.07294950547435,1.4696595869919784,30.344748445823274,85.0,105.03222404185644,83.02347311843918,164.68289235141916,10.7,83,1.6,8.4,72,0.78,1,68.39,33.9,0
Station_61_San Francisco,Station_61,San Francisco,Chevy Bolt,Level 2,Casual Driver,Partly Cloudy,Severe,17,1,0,1,27.84315247164263,2.543139660740745,17.00464384697846,75.0,47.99218334647701,85.86518688525221,79.354979042724,9.6,40,0.0,7.8,88,0.9,1,90.89,50.86,1
Station_270_San Francisco,Station_270,San Francisco,Chevy Bolt,Level 2,Long-Distance Traveler,Partly Cloudy,Severe,18,1,0,1,28.440773917754164,1.0796586545757096,42.42512683318396,50.0,13.667240803504384,96.3460346157945,398.3647747436511,9.5,55,0.0,18.0,85,0.79,0,81.61,47.57,1
Station_180_New York,Station_180,New York,Tesla Model 3,Level 1,Commuter,Clear,Severe,19,1,0,1,68.57302471319414,2.9303906461796965,5.454692701854564,62.0,50.31669101477427,93.89345034552564,191.45599448624304,3.4,61,0.0,18.2,100,0.97,0,96.11,53.86,1
Station_224_Houston,Station_224,Houston,Chevy Bolt,DC Fast Charger,Long-Distance Traveler,Heavy Rain,High,20,1,0,1,65.431016913359,0.929486553755634,20.27269893513049,85.0,76.46681163744769,75.84995702645678,71.43600424010651,8.2,100,7.1,17.9,75,0.74,0,86.16,53.92,1
